phase,budget_mode,env_steps,episode_idx,train_episode_idx,phase_episode_idx,completed_train_episodes,episode_seed,map_fingerprint,epsilon,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,coverage_gain_per_step,weighted_info_gain_per_step,zero_info_rate,recent_revisit_rate,stall_rate,turn_burden_rate,timeout_rate
warmup,env_steps,600,1,1,1,0,20259323,7b103c538456a30c,1.0,-3.443257267890039,600,0.3914,0,0.6772046589018302,max_episode_steps,1.9716666666666667,537.7766666666666,8.203333333333333,279.70611111111106,0.0,0.0,1.9716666666666667,1.9716666666666667,0.0,0.0,8.203333333333333,8.198333333333334,0.005,0.005,0.005,4.765,4.424722222222225,55.39674273210986,-11.999999999999833,-23.160000000000014,-13.679999999999918,-10.0,0.0,545.0,82.0,17.34788879701659,2.610141066707081,0.5220282133414166,17.869917010358005,53.7784552707515,1.6182874613583906,0.029212682579266066,193.0,359.0,504.0,387.0,137.0,80.0,228.00000000000014,1.0,0.0006523333333333333,0.029783195017263342,0.84,0.32166666666666666,0.5983333333333334,0.3800000000000002,1.0
warmup,env_steps,1200,2,2,2,0,20259324,86ebe7e8334a2c4b,1.0,-2.9873357355883776,600,0.4545,0,0.5990016638935108,max_episode_steps,1.1216666666666666,548.24,9.423333333333334,513.211111111111,0.0,0.0,1.1216666666666666,1.1216666666666666,0.0,0.0,9.423333333333334,7.94,1.4833333333333334,0.7866666666666666,0.7866666666666666,9.098333333333333,8.745833333333334,60.17266426441145,-11.999999999999833,-27.000000000000046,-14.159999999999915,-10.0,0.0,589.0,104.0,18.74845229622527,3.3104228163114207,0.662084563262285,19.410536859487543,58.12020211829841,2.052462146113082,0.03410954411282383,225.0,266.0,486.0,376.0,158.0,87.0,235.99999999999994,1.0,0.0007575,0.03235089476581257,0.81,0.375,0.44333333333333336,0.39333333333333326,1.0
warmup,env_steps,1800,3,3,3,0,20259325,12693710fe5d6ecb,1.0,-0.25263147672066033,600,0.4332,0,0.5990016638935108,max_episode_steps,2.51,283.0183333333333,5.6433333333333335,128.23044444444392,0.0,0.0,2.51,2.51,0.0,0.0,5.6433333333333335,5.6433333333333335,0.0,0.0,0.0,3.8016666666666667,2.406416666666673,60.56736852327936,-11.999999999999833,-24.360000000000024,-14.459999999999908,-10.0,0.0,595.0,94.0,18.939438227935543,2.99211293012763,0.5984225860255267,19.53786081396106,58.712258506600264,1.8551100166791312,0.030628869338546704,203.0,349.0,503.0,394.0,153.0,88.0,240.99999999999997,1.0,0.000722,0.032563101356601766,0.8383333333333334,0.3383333333333333,0.5816666666666667,0.4016666666666666,1.0
warmup,env_steps,2400,4,4,4,0,20259326,47f6cbeced187cd7,1.0,0.5598135149399255,600,0.4347,0,0.6455906821963394,max_episode_steps,1.9133333333333333,316.095,9.746666666666666,208.0027777777776,0.0,0.0,1.9133333333333333,1.9133333333333333,0.0,0.0,9.746666666666666,8.965,0.7816666666666666,0.48,0.48,7.943333333333333,6.099166666666671,59.63981351493982,-11.999999999999833,-23.64000000000002,-13.439999999999905,-10.0,0.0,585.0,97.0,18.62112834175175,3.0876058959827675,0.6175211791965541,19.238649520948304,57.72549785943052,1.9143156555093164,0.032097948378557194,197.0,267.0,490.0,376.0,178.0,59.0,224.0,1.0,0.0007245,0.032064415868247174,0.8166666666666667,0.3283333333333333,0.445,0.37333333333333335,1.0
warmup,env_steps,3000,5,5,5,0,20259327,a560fb273fc1d0ba,1.0,30.655095076145216,600,0.6019,0,0.5723793677204659,max_episode_steps,2.21,327.735,7.69,161.52277777777775,0.0,0.0,2.21,2.21,0.0,0.0,7.69,7.676666666666667,0.013333333333333334,0.006666666666666667,0.006666666666666667,6.01,3.6701388888888884,91.29509507614536,-11.999999999999833,-24.84000000000003,-13.799999999999887,-10.0,0.0,899.0,131.0,28.616058767922773,4.169859509007657,0.8339719018015321,29.450030669724296,88.70978218056061,2.585312895584749,0.02831820146995246,207.0,287.0,473.0,390.0,150.0,75.0,230.0,1.0,0.0010031666666666667,0.049083384449540496,0.7883333333333333,0.345,0.47833333333333333,0.38333333333333336,1.0
warmup,env_steps,3600,6,6,6,0,20259328,49b9ba9c4fd7ad56,1.0,-1.7179443723053307,600,0.4146,0,0.6638935108153078,max_episode_steps,2.8316666666666666,446.2266666666667,9.928333333333333,214.9598055555561,0.0,0.0,2.8316666666666666,2.8316666666666666,0.0,0.0,9.928333333333333,9.928333333333333,0.0,0.0,0.0,5.241666666666666,4.441249999999992,57.9820556276946,-11.999999999999833,-23.040000000000013,-14.6599999999999,-10.0,0.0,563.0,123.0,17.92084659214741,3.915211600060622,0.7830423200121249,18.703888912159538,55.554624435657054,2.427431192037587,0.041865214431586056,192.0,327.0,497.0,392.0,171.0,85.0,244.33333333333323,1.0,0.000691,0.031173148186932564,0.8283333333333334,0.32,0.545,0.40722222222222204,1.0
train,env_steps,4200,7,7,1,1,20259329,26e286ae7b61746e,0.9864458666666667,-4.282569568569508,600,0.4325,0,0.6439267886855241,max_episode_steps,3.2683333333333335,506.89166666666665,9.606666666666667,177.07769444444446,0.0,0.0,3.2683333333333335,3.2683333333333335,0.0,0.0,9.606666666666667,9.516666666666667,0.09,0.08833333333333333,0.08833333333333333,6.366666666666666,3.4165555555555587,59.81743043143034,-11.999999999999833,-27.60000000000005,-14.499999999999904,-10.0,0.0,583.0,116.0,18.55746636451499,3.692394679731968,0.7384789359463947,19.295945300461394,57.52814572999653,2.289284701433822,0.03827119762454632,230.0,318.0,499.0,399.0,162.0,82.0,241.66666666666643,1.0,0.0007208333333333333,0.03215990883410232,0.8316666666666667,0.38333333333333336,0.53,0.4027777777777774,1.0
train,env_steps,4800,8,8,2,2,20259330,cdd2adbe337421df,0.9845317333333333,-19.535117486945918,600,0.3374,0,0.6472545757071547,max_episode_steps,1.1016666666666666,365.65,9.54,347.3861111111111,0.0,0.0,1.1016666666666666,1.1016666666666666,0.0,0.0,9.54,7.931666666666667,1.6083333333333334,0.825,0.825,9.435,9.034166666666666,42.86488251305401,-11.999999999999833,-25.20000000000003,-15.199999999999896,-10.0,0.0,411.0,117.0,13.082536322153803,3.724225668350347,0.7448451336700705,13.827381455823875,40.55586259867682,2.3090199143772163,0.05386740331491704,210.0,303.0,509.0,412.0,174.0,87.0,253.33333333333326,1.0,0.0005623333333333333,0.02304563575970646,0.8483333333333334,0.35,0.505,0.4222222222222221,1.0
train,env_steps,5400,9,9,3,3,20259331,3ff58dfb88f979c2,0.9825658666666667,4.210563122411113,600,0.4549,0,0.56738768718802,max_episode_steps,1.14,399.52166666666665,3.695,371.20666666666665,0.0,0.0,1.14,1.14,0.0,0.0,3.695,3.695,0.0,0.0,0.0,3.555,3.4172222222222217,63.31056312241129,-11.999999999999833,-23.88000000000002,-13.219999999999912,-10.0,0.0,626.0,78.0,19.926198875105296,2.4828171122335654,0.49656342244671337,20.422762297552012,61.77121651282649,1.5393466095848107,0.024314214463840356,199.0,363.0,511.0,376.0,161.0,62.0,220.33333333333331,1.0,0.0007581666666666668,0.034037937162586684,0.8516666666666667,0.33166666666666667,0.605,0.36722222222222217,1.0
train,env_steps,6000,10,10,4,4,20259332,219941c069e46dba,0.9806517333333333,-10.639567403550233,600,0.3601,0,0.64891846921797,max_episode_steps,1.665,444.6533333333333,6.886666666666667,297.0229166666667,0.0,0.0,1.665,1.665,0.0,0.0,6.886666666666667,6.716666666666667,0.17,0.17,0.17,6.193333333333333,4.818194444444444,52.1404325964497,-11.999999999999833,-26.28000000000004,-14.499999999999892,-10.0,0.0,511.0,87.0,16.265635183991705,2.7692960097989765,0.5538592019597958,16.8194943859515,50.423469070374345,1.716963526075366,0.032929598788796303,219.0,283.0,502.0,388.0,157.0,90.0,241.6666666666666,1.0,0.0006001666666666666,0.0280324906432525,0.8366666666666667,0.365,0.4716666666666667,0.4027777777777777,1.0
train,env_steps,6600,11,11,5,5,20259333,872f597b6dfe9ae0,0.9786858666666667,11.619634500146377,600,0.5203,0,0.5657237936772047,max_episode_steps,1.6616666666666666,551.8783333333333,9.721666666666666,348.8752777777778,0.0,0.0,1.6616666666666666,1.6616666666666666,0.0,0.0,9.721666666666666,8.375,1.3466666666666667,0.865,0.865,9.038333333333334,6.32,74.55963450014646,-11.999999999999833,-26.40000000000004,-14.539999999999909,-10.0,0.0,734.0,108.0,23.363945645890226,3.4377467707849356,0.6875493541569881,24.05149500004723,72.4282315022598,2.131402997886661,0.028586553732133355,220.0,307.0,476.0,387.0,162.0,89.0,242.33333333333312,1.0,0.0008671666666666667,0.04008582500007871,0.7933333333333333,0.36666666666666664,0.5116666666666667,0.4038888888888885,1.0
train,env_steps,7200,12,12,6,6,20259334,0f58250cdaecbb8b,0.9767717333333333,-19.557252937851317,600,0.3395,0,0.6605657237936772,max_episode_steps,1.6366666666666667,564.2333333333333,8.83,366.25222222222226,0.0,0.0,1.6366666666666667,1.6366666666666667,0.0,0.0,8.83,8.148333333333333,0.6816666666666666,0.68,0.68,8.181666666666667,5.6875,40.04274706214853,-11.999999999999833,-24.00000000000002,-13.599999999999907,-10.0,0.0,396.0,49.0,12.605071492878112,1.5597184423005737,0.3119436884601148,12.917015181338225,39.07572162792218,0.9670254342263558,0.024149827501232107,200.0,380.0,530.0,370.0,150.0,80.0,226.6666666666666,1.0,0.0005658333333333333,0.02152835863556371,0.8833333333333333,0.3333333333333333,0.6333333333333333,0.37777777777777766,1.0
train,env_steps,7800,13,13,7,7,20259335,9c66fc7f58c81bcf,0.9748058666666667,-12.949381679097224,600,0.3498,0,0.6622296173044925,max_episode_steps,2.2483333333333335,373.1166666666667,7.826666666666667,188.08027777777824,0.0,0.0,2.2483333333333335,2.2483333333333335,0.0,0.0,7.826666666666667,7.826666666666667,0.0,0.0,0.0,5.318333333333333,3.8261111111111124,49.890618320902654,-11.999999999999833,-26.520000000000042,-14.31999999999991,-10.0,0.0,489.0,83.0,15.565353434387367,2.6419720553254606,0.5283944110650924,16.093747845452455,48.25259564660088,1.638022674301786,0.03283227848101261,221.0,305.0,509.0,385.0,129.0,101.0,238.6666666666667,1.0,0.000583,0.02682291307575409,0.8483333333333334,0.36833333333333335,0.5083333333333333,0.39777777777777784,1.0
train,env_steps,8400,14,14,8,8,20259336,75fe519ce759fb92,0.9728917333333333,16.321099406183993,600,0.4989,0,0.5940099833610649,max_episode_steps,1.3266666666666667,582.5116666666667,10.466666666666667,510.3908333333339,0.0,0.0,1.3266666666666667,1.3266666666666667,0.0,0.0,10.466666666666667,8.125,2.341666666666667,0.8366666666666667,0.8366666666666667,10.106666666666667,9.003611111111125,75.94109940618407,-11.999999999999833,-23.520000000000017,-14.0999999999999,-10.0,0.0,739.0,153.0,23.523100588982114,4.870141258611998,0.9740282517224006,24.49712884070452,72.92161182584464,3.0194875803394403,0.03976091476091477,196.0,276.0,476.0,387.0,170.0,74.0,234.99999999999994,1.0,0.0008315,0.040828548067840864,0.7933333333333333,0.32666666666666666,0.46,0.39166666666666655,1.0
