method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,map_fingerprint,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,collision_count,coverage_gain_per_step,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,invalid_action_count,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,policy_fallback_info_gain_count,policy_frontier_decision_count,policy_no_valid_action_count,policy_safe_fallback_count,recent_revisit_penalty_sum,recent_revisit_rate,stall_rate,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,timeout_rate,total_accessible_unknown_area,total_frontier_cluster_count,turn_burden_rate,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_per_step,weighted_info_gain_sum,weighted_obstacle_info_gain_sum,zero_info_rate
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,0,20261323,20261323,e1559bd8eebb5ad7,-105.84452226954916,600,0.2337,0,0.956738768718802,max_episode_steps,1.0,576.0,568.0,575.0,578.0,0.0,575.0,3.948333263397217,0,0.0003895,190.0,49.0,6.047887837492023,18.74845229622528,19.715477730451628,0,,,114.13985443115234,0.04904904904904901,1.5597184423005737,0.9670254342263559,0,600,0,0,-68.99999999999959,0.9583333333333334,0.9466666666666667,-11.999999999999833,0.0,-10.0,1.0,449.3550109863281,8.006667137145996,0.96,-34.559999999999796,576.0,0.0,0.0,0.0,4.023333549499512,2.046527862548828,3.948333263397217,8.006667137145996,3.948333263397217,8.006667137145996,0.0,0.0,0.010599719209920228,6.359831525952137,0.3119436884601149,0.96
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,1,20261324,20261324,b7bac2374930e370,-10.565451652421036,600,0.6134,0,0.8469217970049917,max_episode_steps,1.0,519.0,508.0,509.0,277.0,1.0,257.0,1.068333387374878,0,0.0010223333333333332,865.0,152.0,27.533805154897877,85.35479598018348,88.3545483475795,0,,,307.7568359375,0.0339513066785794,4.838310269993618,2.9997523673960433,0,600,0,0,-61.079999999999465,0.8483333333333334,0.8466666666666667,-11.999999999999833,0.0,-10.0,1.0,313.9949951171875,2.4000000953674316,0.44,-15.84000000000004,264.0,0.0,0.0,0.0,2.319999933242798,2.256805419921875,1.068333387374878,2.4000000953674316,1.068333387374878,2.4000000953674316,0.0,0.0,0.04750244534816103,28.50146720889662,0.9676620539987241,0.865
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,2,20261325,20261325,00e453e62ca6e32c,157.0485022383687,198,0.9522,1,0.03015075376884422,coverage_reached,0.0,23.0,4.0,6.0,25.0,6.0,3.0,2.60606050491333,0,0.0048090909090909096,1375.0,344.0,43.76760935027124,135.6795889858408,142.46850223836867,0,,,223.47096252441406,0.047652029366948345,10.9498600847224,6.788913252527891,0,198,0,0,-0.72,0.030303030303030304,0.020202020202020204,-3.960000000000003,20.0,0.0,0.0,520.4091186523438,5.323232173919678,0.06228956228956231,-0.74,12.333333333333337,0.0,0.0,0.0,3.616161584854126,2.203871965408325,2.60606050491333,5.323232173919678,2.60606050491333,5.323232173919678,0.0,0.0,0.23210899680411964,45.95758136721569,2.189972016944482,0.11616161616161616
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,3,20261326,20261326,94e28dfeebda64b4,-92.41294399200235,600,0.2988,0,0.9217970049916805,max_episode_steps,1.0,563.0,553.0,554.0,557.0,0.0,552.0,2.0466666221618652,0,0.0004980000000000001,278.0,94.0,8.849014835909378,27.431945991319097,29.287056007998213,0,,,111.07622528076172,0.06334231805929914,2.992112930127631,1.8551100166791314,0,600,0,0,-66.47999999999949,0.9233333333333333,0.9216666666666666,-11.999999999999833,0.0,-10.0,1.0,224.44667053222656,4.163333415985107,0.9227777777777779,-33.21999999999975,553.6666666666667,0.0,0.0,0.0,2.1050000190734863,2.0403332710266113,2.0466666221618652,4.163333415985107,2.0466666221618652,4.163333415985107,0.0,0.0,0.01574572903655818,9.447437421934907,0.5984225860255264,0.9383333333333334
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,4,20261327,20261327,696d1574721086e1,42.95245688976436,600,0.8948,0,0.6805324459234608,max_episode_steps,1.0,438.0,410.0,409.0,435.0,5.0,409.0,3.051666736602783,0,0.0014913333333333334,1347.0,318.0,42.876341668956606,132.9166591737655,139.19245688976508,0,,,124.32241821289062,0.045087196937473456,10.122254380644549,6.275797715999625,0,600,0,0,-49.07999999999972,0.6816666666666666,0.6833333333333333,-11.999999999999833,0.0,-10.0,1.0,369.4983215332031,3.4649999141693115,0.698888888888889,-25.159999999999847,419.33333333333337,0.0,0.0,0.0,1.3483333587646484,1.1371943950653076,3.051666736602783,3.4649999141693115,3.051666736602783,3.4649999141693115,0.0,0.0,0.07483465424180913,44.90079254508548,2.0244508761289093,0.73
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,5,20261328,20261328,c4ab89318124422d,161.2334265305948,176,0.9528,1,0.03954802259887006,coverage_reached,0.0,27.0,0.0,7.0,37.0,6.0,3.0,1.6647727489471436,0,0.0054136363636363635,1413.0,362.0,44.97718691776965,139.42927944508588,146.57342653059482,0,,,333.0582275390625,0.04874107984381308,11.522817879853214,7.144147085508996,0,176,0,0,-0.84,0.03977272727272727,0.0,-3.5200000000000027,20.0,0.0,0.0,458.61932373046875,4.801136493682861,0.09280303030303032,-0.9800000000000004,16.333333333333336,0.0,0.0,0.0,3.75,3.329545497894287,1.6647727489471436,4.801136493682861,1.6647727489471436,4.801136493682861,0.0,0.0,0.2686463096235243,47.281750493740276,2.3045635759706453,0.1534090909090909
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,6,20261329,20261329,cc612efdd927697b,0.43292158120033264,600,0.7204,0,0.7587354409317804,max_episode_steps,1.0,480.0,456.0,456.0,473.0,1.0,456.0,1.2450000047683716,0,0.0012006666666666667,1018.0,224.0,32.40394641350988,100.45223388188066,104.87292158120113,0,,,448.85223388671875,0.04215280391418896,7.130141450516911,4.420687699320488,0,600,0,0,-54.7199999999996,0.76,0.76,-11.999999999999833,0.0,-10.0,1.0,516.0449829101562,3.683333396911621,0.77,-27.719999999999793,462.0,0.0,0.0,0.0,3.258333444595337,3.0426390171051025,1.2450000047683716,3.683333396911621,1.2450000047683716,3.683333396911621,0.0,0.0,0.05638329117268884,33.8299747036133,1.4260282901033818,0.8
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,7,20261330,20261330,6838c45c0a7cc6ed,31.74036619255671,600,0.8278,0,0.7354409317803661,max_episode_steps,1.0,471.0,441.0,435.0,468.0,3.0,432.0,1.3566666841506958,0,0.0013796666666666666,1286.0,291.0,40.93465136323549,126.89741922603002,132.6403661925579,0,,,246.29249572753906,0.04329712840351139,9.26281768794831,5.7429469665279544,0,600,0,0,-52.199999999999655,0.725,0.735,-11.999999999999833,0.0,-10.0,1.0,311.7133483886719,3.809999942779541,0.7416666666666667,-26.699999999999815,445.0,0.0,0.0,0.0,3.1449999809265137,2.9666666984558105,1.3566666841506958,3.809999942779541,1.3566666841506958,3.809999942779541,0.0,0.0,0.07131202483470854,42.78721490082513,1.8525635375896619,0.785
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,8,20261331,20261331,e4092f1b92f5ee1b,-86.89488700879524,600,0.314,0,0.940099833610649,max_episode_steps,1.0,568.0,559.0,565.0,569.0,0.0,565.0,2.011666774749756,0,0.0005233333333333333,359.0,74.0,11.427324913998088,35.42470723339408,36.8851129912053,0,,,223.711669921875,0.03959336543606204,2.3554931577600504,1.4604057578112313,0,600,0,0,-67.79999999999954,0.9416666666666667,0.9316666666666666,-11.999999999999833,0.0,-10.0,1.0,448.19000244140625,4.989999771118164,0.9438888888888888,-33.97999999999978,566.3333333333333,0.0,0.0,0.0,2.991666555404663,2.4852776527404785,2.011666774749756,4.989999771118164,2.011666774749756,4.989999771118164,0.0,0.0,0.019830705909250162,11.898423545550097,0.4710986315520101,0.9466666666666667
B,Anew_B_classical_frontier_greedy,classical_frontier_greedy,formal,False,,,,9,20261332,20261332,067fe7b61895f787,-27.148928193062165,600,0.5934,0,0.8119800332778702,max_episode_steps,1.0,506.0,475.0,487.0,500.0,4.0,482.0,1.1416666507720947,0,0.000989,797.0,203.0,25.369297928848113,78.64482357942921,82.65107180693832,0,,,503.6055603027344,0.04847182425978986,6.46169068953095,4.00624822750919,0,600,0,0,-58.43999999999952,0.8116666666666666,0.7916666666666666,-11.999999999999833,0.0,-10.0,1.0,541.6649780273438,4.461666584014893,0.8155555555555556,-29.359999999999758,489.33333333333337,0.0,0.0,0.0,4.176666736602783,4.017499923706055,1.1416666507720947,4.461666584014893,1.1416666507720947,4.461666584014893,0.0,0.0,0.044436060111257156,26.661636066754294,1.2923381379061905,0.8433333333333334
