method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,recent_revisit_penalty_sum,semantic_viz,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,total_accessible_unknown_area,total_frontier_cluster_count,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_sum,weighted_obstacle_info_gain_sum
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,0,20261323,20261323,-5.536166950986806,600,0.6059,0,0.8469217970049917,max_episode_steps,1.0,538.0,514.0,508.0,400.0,259.0,1.0,,893.0,128.0,28.42507283621251,88.11772579225881,90.64383304901332,,,,0.02786849553668625,4.074366543152519,2.5261072567545626,-60.95999999999947,,-11.999999999999833,0.0,-10.0,,,-13.219999999999876,220.33333333333294,,,,,,0.0,0.0,,,,,29.23994614484301,0.8148733086305042
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,1,20261324,20261324,-62.65090178362695,600,0.4542,0,0.9467554076539102,max_episode_steps,1.0,569.0,562.0,569.0,577.0,0.0,569.0,,615.0,63.0,19.57605800030312,60.6857798009397,61.92909821637358,,,,0.020076481835564056,2.0053522829578814,1.2433184154338868,-68.27999999999956,,-11.999999999999833,0.0,-10.0,,,-34.29999999999979,571.6666666666666,,,,,,0.0,0.0,,,,,19.977128456894704,0.40107045659157625
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,2,20261325,20261325,-91.92019990438001,600,0.3257,0,0.961730449251248,max_episode_steps,1.0,578.0,571.0,578.0,586.0,1.0,578.0,,339.0,43.0,10.790705141630506,33.45118593905457,34.29980009562055,,,,0.024741081703107022,1.3687325105903,0.8486141565659862,-69.3599999999996,,-11.999999999999833,0.0,-10.0,,,-34.85999999999981,581.0,,,,,,0.0,0.0,,,,,11.064451643748566,0.27374650211806
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,3,20261326,20261326,-54.187246228191654,600,0.4168,0,0.9151414309484193,max_episode_steps,1.0,554.0,542.0,550.0,571.0,370.0,2.0,,513.0,106.0,16.329297161228464,50.620821199808276,52.712753771808146,,,,0.03968551104455257,3.374084793548179,2.0919325719998723,-65.99999999999947,,-11.999999999999833,0.0,-10.0,,,-18.899999999999757,315.00000000000006,,,,,,0.0,0.0,,,,,17.004114119938095,0.6748169587096364
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,4,20261327,20261327,-44.49943016792962,600,0.5368,0,0.9068219633943427,max_episode_steps,1.0,546.0,538.0,545.0,564.0,0.0,545.0,,741.0,145.0,23.586762566218884,73.11896395527859,75.98056983207084,,,,0.037662337662337654,4.615493349664964,2.8616058767922787,-65.39999999999945,,-11.999999999999833,0.0,-10.0,,,-33.07999999999974,551.3333333333333,,,,,,0.0,0.0,,,,,24.509861236151888,0.9230986699329933
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,5,20261328,20261328,-86.40256583343678,600,0.345,0,0.9384359400998337,max_episode_steps,1.0,568.0,561.0,564.0,581.0,0.0,564.0,,362.0,88.0,11.522817879853225,35.720735427544994,37.45743416656375,,,,0.0463645943097998,2.8011269984173577,1.7366987390187625,-67.67999999999954,,-11.999999999999833,0.0,-10.0,,,-34.17999999999979,569.6666666666666,,,,,,0.0,0.0,,,,,12.083043279536692,0.5602253996834718
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,6,20261329,20261329,-39.94039980875868,600,0.4895,0,0.9351081530782029,max_episode_steps,1.0,564.0,557.0,562.0,577.0,376.0,1.0,,682.0,66.0,21.708734237734525,67.29707613697701,68.5996001912411,,,,0.018987341772151906,2.1008452488130183,1.3025240542640717,-67.43999999999953,,-11.999999999999833,0.0,-10.0,,,-19.099999999999753,318.3333333333335,,,,,,0.0,0.0,,,,,22.128903287497124,0.4201690497626038
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,7,20261330,20261330,4.863739806482037,600,0.7421,0,0.8618968386023295,max_episode_steps,1.0,518.0,507.0,518.0,540.0,0.0,516.0,,1178.0,214.0,37.49690459245052,116.24040423659673,120.46373980648319,,,,0.03505897771952817,6.811831564333118,4.223335569886536,-62.15999999999944,,-11.999999999999833,0.0,-10.0,,,-31.439999999999714,524.0,,,,,,0.0,0.0,,,,,38.85927090531717,1.3623663128666241
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,8,20261331,20261331,-27.523739113779467,600,0.5816,0,0.8569051580698835,max_episode_steps,1.0,541.0,522.0,510.0,542.0,3.0,504.0,,845.0,170.0,26.897185382530306,83.38127468584395,86.73626088622112,,,,0.03868031854379979,5.411268065124441,3.3549862003771542,-61.19999999999946,,-11.999999999999833,0.0,-10.0,,,-31.05999999999972,517.6666666666667,,,,,,0.0,0.0,,,,,27.979438995555196,1.0822536130248883
C,Anew_C_local_state_ddqn,local_state_ddqn,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_C_local_state_ddqn.pt,650000,1092,9,20261332,20261332,-101.88634147004002,600,0.2633,0,0.9767054908485857,max_episode_steps,1.0,588.0,581.0,587.0,589.0,0.0,587.0,,256.0,28.0,8.148733086305041,25.26107256754563,25.813658529960687,,,,0.02140672782874618,0.891267681314614,0.5525859624150607,-70.43999999999964,,-11.999999999999833,0.0,-10.0,,,-35.25999999999983,587.6666666666666,,,,,,0.0,0.0,,,,,8.326986622567965,0.1782535362629228
