method_label,method_id,method_name,run_stage,checkpoint_used,checkpoint_path,checkpoint_env_steps,checkpoint_train_episode_idx,episode_index,seed,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,timeout_flag,zero_info_step_count,stall_trigger_count,recent_revisit_trigger_count,turn_ge_90_count,turn_135_count,turn_180_count,accessible_block_count,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,empty_info_reward_sum,info_reward_sum,local_frontier_block_area_mean,local_frontier_coverage,mean_block_area,obstacle_info_contribution_ratio,obstacle_info_gain_sum,obstacle_info_reward_sum,recent_revisit_penalty_sum,step_penalty_sum,terminal_bonus_sum,timeout_penalty_sum,total_accessible_unknown_area,total_frontier_cluster_count,turn_penalty_sum,turn_penalty_weight_sum,value_block_cap_hit_flag,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,value_packed_block_count,value_packed_entry_count,value_total_block_count_before_cap,value_total_entry_count_before_cap,value_truncated_block_count,value_truncated_entry_count,weighted_info_gain_sum,weighted_obstacle_info_gain_sum
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,0,20261323,20261323,67.21592001108641,600,0.7701,0,0.697171381031614,max_episode_steps,1.0,517.0,510.0,147.0,344.0,141.0,75.0,4.755000114440918,1173.0,193.0,37.33774964935867,115.74702391301179,119.55592001108703,0.0,0.0,152.18240356445312,0.03185869924067351,6.143380803347159,3.8088960980752415,-17.63999999999997,-11.999999999999833,0.0,-10.0,712.8533325195312,10.078332901000977,-12.69999999999992,211.6666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5664258100281,1.2286761606694325
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,1,20261324,20261324,162.0885365472736,228,0.9516,1,0.043668122270742356,coverage_reached,0.0,85.0,56.0,7.0,31.0,4.0,6.0,4.627192974090576,1446.0,291.0,46.027609542176144,142.68558958074604,148.42853654727395,0.0,0.0,111.89520263671875,0.03869166334264062,9.262817687948312,5.742946966527955,-0.84,-4.559999999999991,20.0,0.0,498.85089111328125,11.478070259094238,-0.9400000000000004,15.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.880173079765825,1.8525635375896632
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,2,20261325,20261325,157.13235022791488,274,0.9508,1,0.05818181818181818,coverage_reached,0.0,136.0,86.0,2.0,32.0,7.0,1.0,5.901459693908691,1391.0,325.0,44.276905168165285,137.25840602131242,143.67235022791567,0.0,0.0,84.4934310913086,0.04464285714285717,10.345071300973206,6.4139442066033885,-0.24,-5.479999999999971,20.0,0.0,470.02191162109375,11.116787910461426,-0.8200000000000004,13.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.34591942835993,2.0690142601946384
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,3,20261326,20261326,162.21925184584018,162,0.9532,1,0.018404907975460124,coverage_reached,0.0,20.0,3.0,2.0,17.0,3.0,1.0,6.956789970397949,1416.0,325.0,45.07267988362476,139.72530763923677,146.1392518458401,0.0,0.0,75.77580261230469,0.043889264010803536,10.3450713009732,6.413944206603387,-0.24,-3.2400000000000024,20.0,0.0,513.5370483398438,14.049383163452148,-0.4400000000000001,7.333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.141694143819414,2.069014260194639
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,4,20261327,20261327,147.4058886767079,379,0.9545,1,0.33421052631578946,coverage_reached,0.0,231.0,191.0,71.0,143.0,27.0,43.0,4.393139839172363,1434.0,361.0,45.64563767875557,141.50147680414233,148.62588867670794,0.0,0.0,134.5841827392578,0.04793520116850354,11.49098689123485,7.124411872565608,-8.520000000000003,-7.579999999999926,20.0,0.0,557.055419921875,8.984169006347656,-5.119999999999994,85.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.94383505700255,2.29819737824697
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,5,20261328,20261328,159.62959569550065,286,0.9555,1,0.15331010452961671,coverage_reached,0.0,153.0,110.0,13.0,53.0,7.0,6.0,5.83566427230835,1434.0,347.0,45.64563767875558,141.5014768041423,148.34959569550028,0.0,0.0,100.33010864257812,0.04616203272582151,11.045353050577548,6.848118891358078,-1.5600000000000005,-5.719999999999966,20.0,0.0,547.3181762695312,11.223775863647461,-1.4400000000000008,23.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.854708288871095,2.2090706101155075
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,6,20261329,20261329,160.9829588646328,205,0.9509,1,0.02912621359223301,coverage_reached,0.0,62.0,23.0,0.0,36.0,3.0,0.0,6.102438926696777,1414.0,321.0,45.00901790638801,139.52795550980278,145.86295886463256,0.0,0.0,88.0066146850586,0.043431200108239795,10.217747346499689,6.335003354829808,0.0,-4.1000000000000005,20.0,0.0,501.07318115234375,14.297560691833496,-0.7800000000000004,13.000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.052567375687936,2.0435494692999354
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,7,20261330,20261330,173.7907063070846,149,0.9579,1,0.0,coverage_reached,0.0,13.0,0.0,0.0,21.0,1.0,0.0,3.859060287475586,1527.0,331.0,48.60591962026483,150.678350822821,157.21070630708482,0.0,0.0,177.50592041015625,0.04155159427567165,10.53605723268348,6.532355484263761,0.0,-2.980000000000002,20.0,0.0,614.2416381835938,11.402684211730957,-0.4400000000000001,7.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.713131066801544,2.1072114465366947
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,8,20261331,20261331,166.69531434889672,234,0.9508,1,0.05106382978723404,coverage_reached,0.0,98.0,43.0,3.0,25.0,2.0,3.0,6.008546829223633,1476.0,342.0,46.98253920072753,145.64587152225516,152.39531434889633,0.0,0.0,97.38607788085938,0.04428904428904434,10.886198107485644,6.7494428266411,-0.36,-4.679999999999988,20.0,0.0,551.3162231445312,12.841880798339844,-0.6599999999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.159778822224645,2.1772396214971286
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,9,20261332,20261332,147.2009815389327,568,0.9502,1,0.18980667838312829,coverage_reached,0.0,396.0,341.0,41.0,129.0,34.0,19.0,3.9595069885253906,1425.0,349.0,45.3591587811902,140.61339222168954,147.5009815389343,0.0,0.0,91.44937133789062,0.04669521006154675,11.109015027814307,6.8875893172448714,-4.9200000000000035,-11.359999999999847,20.0,0.0,329.06866455078125,7.299295902252197,-4.020000000000002,67.00000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.58096178675305,2.221803005562859
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,10,20261333,20261333,170.2017035471599,278,0.9525,1,0.07526881720430108,coverage_reached,0.0,126.0,65.0,6.0,53.0,7.0,5.0,5.305755615234375,1531.0,345.0,48.733243574738346,151.0730550816889,157.88170354716,0.0,0.0,90.23395538330078,0.04312500000000004,10.981691073340787,6.808648465471289,-0.72,-5.559999999999969,20.0,0.0,409.5719299316406,12.629496574401855,-1.4000000000000008,23.33333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.92958178940652,2.196338214668157
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,11,20261334,20261334,169.31001860776433,150,0.9521,1,0.033112582781456956,coverage_reached,0.0,25.0,9.0,2.0,10.0,0.0,1.0,4.400000095367432,1488.0,302.0,47.3645110641481,146.829984298859,152.79001860776415,0.0,0.0,132.49278259277344,0.03900800826659778,9.61295856275048,5.960034308905299,-0.24,-3.000000000000002,20.0,0.0,459.4533386230469,10.713333129882812,-0.23999999999999994,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28710277669817,1.9225917125500953
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,12,20261335,20261335,164.3090661213872,154,0.9506,1,0.025806451612903226,coverage_reached,0.0,16.0,2.0,4.0,21.0,1.0,2.0,6.090909004211426,1438.0,329.0,45.77296163322908,141.89618106301023,148.38906612138717,0.0,0.0,86.09628295898438,0.04375581859289801,10.472395255446715,6.492885058376967,-0.48,-3.0800000000000023,20.0,0.0,454.3636474609375,10.188311576843262,-0.5200000000000001,8.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.86744068431844,2.0944790510893423
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,13,20261336,20261336,167.51981572885865,207,0.9553,1,0.04326923076923077,coverage_reached,0.0,58.0,19.0,0.0,18.0,2.0,0.0,7.628019332885742,1481.0,300.0,47.14169414381945,146.1392518458401,152.05981572885855,0.0,0.0,81.14787292480469,0.03893575600259577,9.549296585513726,5.920563883018514,0.0,-4.14,20.0,0.0,586.49755859375,13.25120735168457,-0.4000000000000001,6.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0515534609222,1.9098593171027438
D,Anew_D_no_value_tree,no_value_tree,formal,True,C:\Users\Dk\Desktop\SCI\New_A\checkpoint_store\final_method\A_new_minimum_closure\Anew_D_no_value_tree.pt,650000,1633,14,20261337,20261337,46.51229876455699,600,0.9004,0,0.6289517470881864,max_episode_steps,1.0,462.0,419.0,368.0,385.0,6.0,356.0,5.894999980926514,1299.0,332.0,41.34845421527438,128.18020806735063,134.73229876455775,0.0,0.0,68.47381591796875,0.04863043796689621,10.567888221301855,6.552090697207154,-44.159999999999826,-11.999999999999833,0.0,-10.0,394.6383361816406,13.0649995803833,-22.059999999999913,367.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.46203185953476,2.11357764426037
