method_id,episode_idx,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,group,display_name,checkpoint_path
A,1,20261323,165.90349067529857,188,0.9534,1,0.010582010582010581,coverage_reached,3.2765958309173584,469.9042663574219,6.973404407501221,154.68333435058594,0.030841415748000145,0.505733847618103,3.2765958309173584,3.2765958309173584,0.0,0.0,6.973404407501221,6.920212745666504,0.05319149047136307,0.03191489353775978,0.03191489353775978,3.920212745666504,2.5938830375671387,150.04682400863234,-3.760000000000003,0.0,-0.3833333333333333,0.0,20.0,1463.0,288.0,46.56873634868862,9.167324722093175,1.8334649444186337,48.40220129310722,144.36308268093464,5.68374132769777,0.03787978429567277,0.0,22.0,50.0,20.0,3.0,0.0,7.666666666666666,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,2,20261324,162.87705672333703,194,0.9502,1,0.05641025641025641,coverage_reached,5.005154609680176,550.36083984375,10.108247756958008,114.0058364868164,0.03189798444509506,0.4090158939361572,5.005154609680176,5.005154609680176,0.0,0.0,10.108247756958008,10.097938537597656,0.010309278033673763,0.010309278033673763,0.010309278033673763,4.144330024719238,2.1995275020599365,148.2903900566701,-3.880000000000003,-0.7,-0.8333333333333338,0.0,20.0,1445.0,289.0,45.995778553557734,9.199155710711558,1.8398311421423097,47.83560969570006,142.58691351602897,5.7034765406411685,0.038461538461538526,7.0,26.0,53.0,39.0,7.0,2.0,16.66666666666667,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,3,20261325,154.6134563663944,322,0.9531,1,0.15479876160990713,coverage_reached,3.819875717163086,510.5062255859375,11.20496940612793,135.05760192871094,0.02085886150598526,0.3752211928367615,3.819875717163086,3.819875717163086,0.0,0.0,11.20496940612793,11.186335563659668,0.018633540719747543,0.012422360479831696,0.012422360479831696,5.711180210113525,2.942857027053833,144.08678969972695,-6.439999999999951,-1.3,-1.7333333333333325,0.0,20.0,1395.0,326.0,44.40422912263882,10.37690228959158,2.075380457918315,46.47960958055713,137.6531102801803,6.433679419546782,0.044651417614025496,13.0,134.0,171.0,74.0,20.0,5.0,34.66666666666665,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,4,20261326,146.6874132543441,529,0.957,1,0.22452830188679246,coverage_reached,7.296786308288574,552.257080078125,13.338374137878418,80.53292083740234,0.019572287797927856,0.14833302795886993,7.296786308288574,7.296786308288574,0.0,0.0,13.338374137878418,13.240076065063477,0.09829867631196976,0.028355387970805168,0.028355387970805168,4.27221155166626,1.9831663370132446,145.03407992100986,-10.579999999999863,-3.800000000000002,-3.9666666666666597,0.0,20.0,1400.0,349.0,44.56338406573071,11.109015027814303,2.221803005562858,46.78518707129363,138.14649060376513,6.88758931724487,0.04748945434753033,38.0,258.0,359.0,154.0,36.0,24.0,79.33333333333334,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,5,20261327,113.10845524811728,600,0.9154,0,0.31281198003327787,max_episode_steps,6.40500020980835,411.2683410644531,11.701666831970215,65.12979125976562,0.01467875950038433,0.20715051889419556,6.40500020980835,6.40500020980835,0.0,0.0,11.701666831970215,11.701666831970215,0.0,0.0,0.0,3.8533332347869873,1.8456823825836182,141.97512191478373,-11.999999999999833,-4.899999999999999,-3.9666666666666606,-8.0,0.0,1371.0,339.0,43.640285395797704,10.790705141630518,2.158141028326104,45.79842642412385,135.28488472697296,6.69023718781092,0.047122602168473755,49.0,332.0,433.0,159.0,39.0,20.0,79.33333333333323,1.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,6,20261328,161.265638807551,206,0.95,1,0.057971014492753624,coverage_reached,6.131067752838135,500.73785400390625,9.660194396972656,85.30682373046875,0.03308896720409393,0.6343080997467041,6.131067752838135,6.131067752838135,0.0,0.0,9.660194396972656,9.660194396972656,0.0,0.0,0.0,4.237864017486572,1.6401121616363525,147.4023054742173,-4.12,-0.7999999999999999,-1.216666666666667,0.0,20.0,1425.0,344.0,45.359158781190196,10.949860084722403,2.18997201694448,47.54913079813466,140.61339222168954,6.788913252527894,0.046057035747757435,8.0,23.0,53.0,51.0,8.0,7.0,24.333333333333318,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,7,20261329,156.62311475328735,353,0.9547,1,0.15254237288135594,coverage_reached,3.0368270874023438,348.0113220214844,8.742209434509277,121.78516387939453,0.018314030021429062,0.31668636202812195,3.0368270874023438,3.0368270874023438,0.0,0.0,8.742209434509277,8.742209434509277,0.0,0.0,0.0,4.750708103179932,2.97525954246521,146.0997814199533,-7.059999999999937,-0.8999999999999999,-1.5166666666666668,0.0,20.0,1415.0,328.0,45.040848895006356,10.440564266828332,2.088112853365667,47.12896174837204,139.6266315745198,6.47314984543357,0.04430636228555992,9.0,139.0,191.0,67.0,18.0,3.0,30.333333333333318,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,8,20261330,166.46685831753686,287,0.95,1,0.1527777777777778,coverage_reached,6.522647857666016,455.6933898925781,11.585366249084473,76.74932098388672,0.02533045969903469,0.27844828367233276,6.522647857666016,6.522647857666016,0.0,0.0,11.585366249084473,11.585366249084473,0.0,0.0,0.0,3.97212553024292,1.8609840869903564,156.00685831753765,-5.739999999999966,-2.3000000000000007,-1.5000000000000002,0.0,20.0,1516.0,325.0,48.25577874546269,10.345071300973203,2.0690142601946406,50.32479300565733,149.59291411093426,6.413944206603387,0.04111321948134095,23.0,99.0,135.0,58.0,16.0,8.0,29.999999999999993,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,9,20261331,169.38715294039318,174,0.9545,1,0.005714285714285714,coverage_reached,3.436781644821167,523.4827880859375,10.793103218078613,209.10861206054688,0.03817082569003105,0.5843136310577393,3.436781644821167,3.436781644821167,0.0,0.0,10.793103218078613,10.72988510131836,0.06321839243173599,0.05747126415371895,0.05747126415371895,6.0804595947265625,3.878680944442749,153.5004862737265,-3.4800000000000026,-0.1,-0.5333333333333333,0.0,20.0,1488.0,338.0,47.364511064148076,10.758874153012126,2.151774830602427,49.516285894750524,146.82998429885893,6.670501974867522,0.043455901259964035,1.0,6.0,20.0,27.0,3.0,1.0,10.666666666666666,0.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
A,10,20261332,121.94081073237895,600,0.9497,0,0.23128119800332778,max_episode_steps,2.626666784286499,368.1283264160156,7.191666603088379,145.16488647460938,0.012165532447397709,0.2155630737543106,2.626666784286499,2.626666784286499,0.0,0.0,7.191666603088379,7.191666603088379,0.0,0.0,0.0,4.644999980926514,2.8501667976379395,148.50747739904753,-11.999999999999833,-3.2000000000000015,-3.366666666666662,-8.0,0.0,1438.0,335.0,45.77296163322908,10.66338118715699,2.1326762374313986,47.90563787066053,141.89618106301012,6.611296336037334,0.04451827242524921,32.0,378.0,431.0,138.0,34.0,15.0,67.33333333333337,1.0,A,full_method_main,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\full_method_main\A_full_method.pt
