method_id,episode_idx,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,group,display_name,checkpoint_path
C,1,20261323,-88.62706124171255,600,0.2247,0,0.978369384359401,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.656272091621442,-11.999999999999833,-58.800000000000566,-29.48333333333362,-8.0,0.0,194.0,26.0,6.1752117919655385,0.8276057040778557,0.16552114081557118,6.340732932781111,19.14315655509317,0.5131155365282707,0.026104417670682736,588.0,581.0,588.0,593.0,0.0,588.0,589.6666666666666,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,2,20261324,-37.93965914750027,600,0.4204,0,0.9517470881863561,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37700751916644,-11.999999999999833,-57.20000000000054,-16.11666666666671,-8.0,0.0,550.0,56.0,17.507043740108486,1.7825353626292275,0.35650707252584557,17.863550812634333,54.27183559433634,1.1051719248301213,0.019957234497505336,572.0,565.0,572.0,582.0,385.0,0.0,322.33333333333354,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,3,20261325,-22.69811070575266,600,0.5127,0,0.908485856905158,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43522262758081,-11.999999999999833,-54.600000000000506,-15.533333333333369,-8.0,0.0,659.0,122.0,20.976621499511804,3.883380611442244,0.7766761222884496,21.753297621800257,65.0275266484866,2.407695979094193,0.0357038337723149,546.0,540.0,551.0,567.0,365.0,0.0,310.6666666666667,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,4,20261326,-56.94391513141239,600,0.3853,0,0.9450915141430949,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.489418201921566,-11.999999999999833,-56.80000000000054,-28.633333333333606,-8.0,0.0,476.0,77.0,15.151550582348435,2.4509861236151878,0.49019722472303773,15.641747807071473,46.96980680528015,1.5196113966414166,0.03133903133903134,568.0,562.0,571.0,581.0,3.0,567.0,572.6666666666667,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,5,20261327,-22.870519151955044,600,0.5524,0,0.8985024958402662,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.54614751471222,-11.999999999999833,-54.0000000000005,-27.416666666666924,-8.0,0.0,765.0,155.0,24.350706293059982,4.933803235848755,0.9867606471697511,25.33746694022973,75.487189508486,3.058958006226228,0.03894472361809043,540.0,531.0,543.0,567.0,2.0,538.0,548.3333333333333,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,6,20261328,-57.22005893362485,600,0.3298,0,0.9484193011647255,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77994106637519,-11.999999999999833,-57.00000000000054,-16.00000000000004,-8.0,0.0,349.0,68.0,11.109015027814293,2.1645072260497757,0.43290144520995527,11.541916473024253,34.43794658622434,1.3419944801508612,0.03750689464975176,570.0,562.0,570.0,575.0,383.0,1.0,320.00000000000017,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,7,20261329,-28.882458433614083,600,0.4596,0,0.9434276206322796,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.78420823305273,-11.999999999999833,-56.700000000000536,-15.966666666666704,-8.0,0.0,637.0,47.0,20.27633974990746,1.4960564650638162,0.2992112930127633,20.57555104292022,62.85665322471316,0.9275550083395661,0.014542079207920788,567.0,558.0,568.0,576.0,382.0,0.0,319.3333333333335,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,8,20261330,-29.177608730885616,600,0.4824,0,0.9217970049916805,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10572460244832,-11.999999999999833,-55.40000000000052,-27.883333333333596,-8.0,0.0,731.0,100.0,23.268452680035086,3.183098861837906,0.6366197723675816,23.90507245240268,72.1322033081088,1.9735212943395024,0.026631158455392812,554.0,550.0,558.0,562.0,5.0,553.0,557.6666666666666,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,9,20261331,-100.6138584343409,600,0.1618,0,0.9883527454242929,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.486141565659858,-11.999999999999833,-59.400000000000574,-29.700000000000287,-8.0,0.0,82.0,20.0,2.6101410667070835,0.6366197723675814,0.1273239544735163,2.7374650211806,8.09143730679196,0.3947042588679005,0.04651162790697675,594.0,587.0,594.0,594.0,0.0,594.0,594.0,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
C,10,20261332,0.13486236143985053,600,0.6058,0,0.9051580698835274,max_episode_steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0515290281075,-11.999999999999833,-54.4000000000005,-18.516666666666747,-8.0,0.0,922.0,105.0,29.34817150614551,3.3422538049298,0.6684507609859605,30.01662226713146,90.97933166905102,2.0721973590564766,0.022269353128313893,544.0,536.0,548.0,564.0,545.0,1.0,370.33333333333513,1.0,C,local_state_ddqn,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\baselines\C_baseline_local_state_ddqn.pt
