method_id,episode_idx,episode_seed,episode_reward,episode_length,final_coverage,success,repeat_visit_ratio,done_reason,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,weighted_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,timeout_flag,group,display_name,checkpoint_path
R5,1,20261323,171.86246359942473,134,0.9591,1,0.0,coverage_reached,5.895522594451904,533.171630859375,12.194029808044434,111.79225158691406,0.04384540021419525,0.6437950730323792,5.895522594451904,5.895522594451904,0.0,0.0,12.194029808044434,12.179104804992676,0.014925372786819935,0.014925372786819935,0.014925372786819935,5.7686567306518555,2.5901670455932617,151.86246359942473,0.0,0.0,0.0,0.0,20.0,1483.0,280.0,47.205356121056134,8.912676813146135,1.782535362629228,48.98789148368539,146.33660397527407,5.525859624150606,0.0363872644574399,0.0,0.0,3.0,21.0,3.0,0.0,7.999999999999998,0.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,2,20261324,168.09303792723622,374,0.9512,1,0.24533333333333332,coverage_reached,2.989304780960083,504.8796691894531,9.22994613647461,177.19146728515625,0.022105811163783073,0.3882320523262024,2.989304780960083,2.989304780960083,0.0,0.0,9.22994613647461,8.69518756866455,0.5347593426704407,0.12299465388059616,0.12299465388059616,5.435828685760498,3.3551690578460693,148.09303792723622,0.0,0.0,0.0,0.0,20.0,1442.0,294.0,45.90028558770263,9.358310653803452,1.8716621307606889,47.77194771846329,142.2908853218781,5.802152605358142,0.03917910447761198,60.0,151.0,215.0,137.0,35.0,31.0,77.99999999999997,0.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,3,20261325,135.34409036580303,600,0.903,0,0.39933444259567386,max_episode_steps,3.9200000762939453,423.61334228515625,6.761666774749756,110.86698150634766,0.009077854454517365,0.1292574405670166,3.9200000762939453,3.9200000762939453,0.0,0.0,6.761666774749756,6.761666774749756,0.0,0.0,0.0,2.7866666316986084,1.7565832138061523,135.34409036580303,0.0,0.0,0.0,0.0,0.0,1311.0,303.0,41.730426078694975,9.644789551368861,1.9289579102737715,43.659383988968735,129.36432084395435,5.979769521848697,0.04418197725284344,41.0,423.0,469.0,190.0,63.0,20.0,97.66666666666667,1.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,4,20261326,131.7325463971618,600,0.8738,0,0.454242928452579,max_episode_steps,7.581666469573975,509.961669921875,15.946666717529297,68.52392578125,0.01310279592871666,0.18666602671146393,7.581666469573975,7.581666469573975,0.0,0.0,15.946666717529297,15.926666259765625,0.019999999552965164,0.011666666716337204,0.011666666716337204,5.896666526794434,2.178410291671753,131.7325463971618,0.0,0.0,0.0,0.0,0.0,1275.0,300.0,40.58451048843331,9.54929658551373,1.9098593171027436,42.494369805536074,125.81198251414328,5.920563883018512,0.044943820224719135,87.0,413.0,464.0,242.0,73.0,35.0,128.33333333333331,1.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,5,20261327,169.7902662403681,177,0.9504,1,0.02247191011235955,coverage_reached,6.163841724395752,464.80224609375,12.288135528564453,88.95458984375,0.03953521326184273,0.5069840550422668,6.163841724395752,6.163841724395752,0.0,0.0,12.288135528564453,12.288135528564453,0.0,0.0,0.0,4.519773960113525,2.198892831802368,149.7902662403681,0.0,0.0,0.0,0.0,20.0,1451.0,335.0,46.18676448526804,10.663381187156993,2.1326762374313963,48.3194407226994,143.17896990433087,6.611296336037339,0.04413702239789201,4.0,0.0,14.0,36.0,8.0,1.0,15.333333333333343,0.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,6,20261328,167.63912802953809,157,0.95,1,0.06329113924050633,coverage_reached,5.71974515914917,474.5987243652344,12.03184700012207,101.13261413574219,0.04197177663445473,0.5699286460876465,5.71974515914917,5.71974515914917,0.0,0.0,12.03184700012207,12.006369590759277,0.025477707386016846,0.025477707386016846,0.025477707386016846,5.528662204742432,2.3657398223876953,147.63912802953809,0.0,0.0,0.0,0.0,20.0,1428.0,341.0,45.4546517470453,10.854367118867266,2.1708734237734517,47.62552517081878,140.9094204158405,6.729707613697706,0.045582141424943205,10.0,1.0,15.0,37.0,3.0,10.0,19.99999999999999,0.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,7,20261329,166.4550152529344,293,0.9518,1,0.1360544217687075,coverage_reached,3.812286615371704,360.0955505371094,9.85665512084961,98.36064147949219,0.021739298477768898,0.3633028268814087,3.812286615371704,3.812286615371704,0.0,0.0,9.85665512084961,9.84982967376709,0.006825938355177641,0.006825938355177641,0.006825938355177641,4.621160507202148,2.604501724243164,146.4550152529344,0.0,0.0,0.0,0.0,20.0,1421.0,316.0,45.23183482671663,10.05859240340779,2.011718480681558,47.243553307398216,140.21868796282158,6.236327290112831,0.04258186228271127,16.0,89.0,129.0,75.0,15.0,2.0,31.333333333333307,0.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,8,20261330,175.45427235512247,156,0.95,1,0.0,coverage_reached,2.1602563858032227,579.3910522460938,8.102563858032227,331.4151916503906,0.03881039470434189,0.6032492518424988,2.1602563858032227,2.1602563858032227,0.0,0.0,8.102563858032227,8.057692527770996,0.044871795922517776,0.044871795922517776,0.044871795922517776,5.852564334869385,4.378418922424316,155.45427235512247,0.0,0.0,0.0,0.0,20.0,1509.0,332.0,48.03296182513402,10.567888221301853,2.1135776442603715,50.146539469394384,148.90218165791552,6.552090697207154,0.04214802589818461,0.0,0.0,6.0,26.0,3.0,0.0,9.666666666666668,0.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,9,20261331,120.93738491712462,600,0.777,0,0.519134775374376,max_episode_steps,3.8483333587646484,543.5233154296875,11.039999961853027,142.9964141845703,0.00898715015500784,0.17563728988170624,3.8483333587646484,3.8483333587646484,0.0,0.0,11.039999961853027,10.998332977294922,0.0416666679084301,0.02666666731238365,0.02666666731238365,6.893333435058594,2.9341390132904053,120.93738491712462,0.0,0.0,0.0,0.0,0.0,1172.0,268.0,37.305918660740275,8.530704949725596,1.7061409899451165,39.01205965068545,115.64834784829488,5.28903706882987,0.04373368146214101,66.0,431.0,470.0,215.0,77.0,32.0,118.66666666666666,1.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
R5,10,20261332,140.3765696663687,600,0.8907,0,0.4425956738768719,max_episode_steps,5.264999866485596,531.8383178710938,13.789999961853027,111.43523406982422,0.011564626358449459,0.13900169730186462,5.264999866485596,5.264999866485596,0.0,0.0,13.789999961853027,13.761666297912598,0.028333334252238274,0.019999999552965164,0.019999999552965164,4.489999771118164,2.751638889312744,140.3765696663687,0.0,0.0,0.0,0.0,0.0,1367.0,278.0,43.512961441324194,8.849014835909392,1.7698029671818754,45.2827644085061,134.89018046810494,5.486389198263825,0.0390833684802475,43.0,386.0,443.0,209.0,58.0,21.0,102.99999999999994,1.0,R,no_efficiency_penalties,C:\Users\Dk\Desktop\SCI\DRL_PF\checkpoint_store\ablations\R5_ablation_no_efficiency_penalties.pt
