method_id,train_steps_path,train_episodes_path,metric_snapshot_path,row_count,best_train_coverage_env_steps,best_train_coverage,best_train_success_env_steps,best_train_success_rate,best_train_reward_env_steps,best_train_reward,final_logged_env_steps,final_logged_coverage,final_logged_success_rate,final_logged_reward,peak_minus_last_coverage,peak_minus_last_success_rate,peak_minus_last_reward,last_is_train_side_coverage_peak,last_is_train_side_success_peak,last_is_train_side_reward_peak,last_not_train_side_peak_any_primary
A,experiment_records\full_method_main\logs\train_steps.csv,experiment_records\full_method_main\logs\train_episodes.csv,experiment_records\full_method_main\logs\metric_snapshot.json,992,482512,0.9474009871,494512,0.8899999857,494512,156.8937836,500000,0.9401469231,0.8799999952,155.0739746,0.007254064083,0.009999990463,1.81980896,False,False,False,True
C,outputs\C_baseline_local_state_ddqn_formal_20260523_165205\logs\train_steps.csv,outputs\C_baseline_local_state_ddqn_formal_20260523_165205\logs\train_episodes.csv,experiment_records\baselines\C_baseline_local_state_ddqn\logs\metric_snapshot.json,992,158000,0.6296660304,239008,0.02999999933,148512,30.86271667,500000,0.5716019869,0,-2.572876692,0.05806404352,0.02999999933,33.43559337,False,False,False,True
D,outputs\D_ablation_no_value_tree_formal_20260523_135133\logs\train_steps.csv,outputs\D_ablation_no_value_tree_formal_20260523_135133\logs\train_episodes.csv,experiment_records\ablations\D_ablation_no_value_tree\logs\metric_snapshot.json,992,444512,0.9407299161,441504,0.8700000048,441504,155.7114716,500000,0.9329699874,0.8000000119,148.3859863,0.007759928703,0.06999999285,7.325485229,False,False,False,True
E,outputs\E_ablation_no_semantic_dual_state_split_formal_20260523_174001\logs\train_steps.csv,outputs\E_ablation_no_semantic_dual_state_split_formal_20260523_174001\logs\train_episodes.csv,experiment_records\ablations\E_ablation_no_semantic_dual_state_split\logs\metric_snapshot.json,992,302512,0.9406019449,297504,0.7900000215,303008,141.1745758,500000,0.9148359895,0.7300000191,131.741684,0.02576595545,0.06000000238,9.432891846,False,False,False,True
F1,outputs\F1_ablation_no_frontier_channel_formal_20260522_133551\logs\train_steps.csv,outputs\F1_ablation_no_frontier_channel_formal_20260522_133551\logs\train_episodes.csv,experiment_records\ablations\F1_ablation_no_frontier_channel\logs\metric_snapshot.json,992,465504,0.9448989034,464000,0.8999999762,465504,157.0323334,500000,0.9372969866,0.7900000215,151.3206177,0.00760191679,0.1099999547,5.711715698,False,False,False,True
F2,outputs\F2_ablation_no_visit_count_channel_formal_20260522_225817\logs\train_steps.csv,outputs\F2_ablation_no_visit_count_channel_formal_20260522_225817\logs\train_episodes.csv,experiment_records\ablations\F2_ablation_no_visit_count_channel\logs\metric_snapshot.json,992,419504,0.9318029881,457008,0.8299999833,457008,151.53862,500000,0.9122499824,0.6899999976,141.2065582,0.0195530057,0.1399999857,10.33206177,False,False,False,True
F3,outputs\F3_ablation_no_recent_trajectory_channel_formal_20260523_012506\logs\train_steps.csv,outputs\F3_ablation_no_recent_trajectory_channel_formal_20260523_012506\logs\train_episodes.csv,experiment_records\ablations\F3_ablation_no_recent_trajectory_channel\logs\metric_snapshot.json,992,376000,0.9317799211,496512,0.7200000286,496512,131.1623535,500000,0.9159448743,0.7200000286,130.5008545,0.01583504677,0,0.6614990234,False,True,False,True
F4,outputs\F4_ablation_no_visit_traj_channels_formal_20260522_155944\logs\train_steps.csv,outputs\F4_ablation_no_visit_traj_channels_formal_20260522_155944\logs\train_episodes.csv,experiment_records\ablations\F4_ablation_no_visit_traj_channels\logs\metric_snapshot.json,992,190000,0.7538179159,238000,0.1700000018,149008,58.78133774,500000,0.6943379045,0.02999999933,19.29512024,0.05948001146,0.1400000025,39.4862175,False,False,False,True
F5,outputs\F5_ablation_occupancy_only_canvas_formal_20260522_181733\logs\train_steps.csv,outputs\F5_ablation_occupancy_only_canvas_formal_20260522_181733\logs\train_episodes.csv,experiment_records\ablations\F5_ablation_occupancy_only_canvas\logs\metric_snapshot.json,992,203504,0.7475119829,201008,0.1299999952,203504,55.17708969,500000,0.6631649733,0.05999999866,14.63893795,0.08434700966,0.06999999657,40.53815174,False,False,False,True
R1,outputs\R1_ablation_no_step_penalty_formal_20260523_035241\logs\train_steps.csv,outputs\R1_ablation_no_step_penalty_formal_20260523_035241\logs\train_episodes.csv,experiment_records\ablations\R1_ablation_no_step_penalty\logs\metric_snapshot.json,992,313504,0.9392970204,484000,0.8299999833,485504,156.2419128,500000,0.9177039862,0.7699999809,152.2538452,0.02159303427,0.06000000238,3.988067627,False,False,False,True
